Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/BTS ticker,	Volume in BTS,	Trade count
BRIDGE.SPLB/BRIDGE.BTC,	1424285715,	997,	0.00001128208611187,	83789.2,	0.0016068914084536,	1
BRIDGE.1X2/BRIDGE.BTC,	30361541880,	35051830,	0,	83332.6403326403326403,	29209.615423909,	27
BRIDGE.CSTL/BRIDGE.BTC,	207000049,	18837,	0,	83332.6403326403326403,	15.697369459459,	1
BRIDGE.BTC/BRIDGE.SMART,	17328652,	6142221627,	83332.6403326403326403,	0.2598001599849385187,	14440.423245655,	42
BRIDGE.XDOGE/BRIDGE.BTC,	35497866,	1782011,	0.04,	83332.6403326403326403,	1419.91464,	4
BRIDGE.PDX/BRIDGE.BTC,	59176973816,	747274,	0.01136500000026452,	83332.6403326403326403,	672.54630743449,	6
BRIDGE.BTC/BRIDGE.LGS,	22544186,	102369715249,	83332.6403326403326403,	0.00200010000000375,	18786.665435301,	62
BRIDGE.FTON/BRIDGE.BTC,	36208636928,	109300921,	0,	83332.6403326403326403,	91083.343377193,	156
BRIDGE.ARRR/BRIDGE.BTC,	105753396500,	69861652,	0.008084074373484236,	83332.6403326403326403,	854.91832255457,	83
BRIDGE.BTC/BRIDGE.XMCC,	70755,	1949757243,	83332.6403326403326403,	0.05319220000006288,	58.96200966736,	7
BRIDGE.BTC/BRIDGE.ZNZ,	2303,	47000004,	83332.6403326403326403,	0,	1.9191507068607,	2
BRIDGE.BTC/BRIDGE.BAT,	116314,	2400280,	83332.6403326403326403,	0,	96.927527276507,	4
BRIDGE.BTC/BRIDGE.RAP,	4,	4842500,	83332.6403326403326403,	0.00004071,	0.0033333056133056,	1
BRIDGE.BTC/BRIDGE.ZCR,	5276,	2720542,	83332.6403326403326403,	0.0001394239282134,	4.3966301039501,	3
BRIDGE.BTC/BRIDGE.DASH,	40315103,	1907724833,	83332.6403326403326403,	1604.6235181591834798,	33595.639782723,	15
BRIDGE.NELLA/BRIDGE.BTC,	90182481487,	13540689,	0,	83332.6403326403326403,	11283.813662931,	87
